customer_state,customer_city,total_customers,total_orders,avg_orders_per_customer
BA,carinhanha,2,2,1.00
BA,"castro alves",2,2,1.00
BA,"catu de abrantes",2,2,1.00
BA,caturama,2,2,1.00
BA,"conceicao da feira",2,2,1.00
BA,conde,2,2,1.00
BA,correntina,2,2,1.00
BA,cristopolis,2,2,1.00
BA,"dario meira",2,2,1.00
BA,"elisio medrado",2,2,1.00
BA,fatima,2,2,1.00
BA,guaratinga,2,2,1.00
BA,ibiassuce,2,2,1.00
BA,ibipitanga,2,2,1.00
BA,ibiraja,1,2,2.00
BA,ibirataia,2,2,1.00
BA,ichu,2,2,1.00
BA,iguai,2,2,1.00
BA,iramaia,2,2,1.00
BA,irara,2,2,1.00
BA,itabatan,2,2,1.00
BA,itagi,2,2,1.00
BA,itagiba,2,2,1.00
BA,itamira,1,2,2.00
BA,itapicuru,2,2,1.00
BA,itororo,2,2,1.00
BA,jaguaquara,2,2,1.00
BA,jucurucu,2,2,1.00
BA,jussari,2,2,1.00
BA,mairi,2,2,1.00
BA,maragogipe,2,2,1.00
BA,mascote,2,2,1.00
BA,milagres,2,2,1.00
BA,"monte gordo",2,2,1.00
BA,morpara,2,2,1.00
BA,"muquem do sao francisco",2,2,1.00
BA,"nova canaa",2,2,1.00
BA,"oliveira dos brejinhos",2,2,1.00
BA,palmeiras,2,2,1.00
BA,paripiranga,2,2,1.00
BA,piata,2,2,1.00
BA,pindai,2,2,1.00
BA,pintadas,2,2,1.00
BA,piripa,2,2,1.00
BA,pocoes,2,2,1.00
BA,quijingue,2,2,1.00
BA,"riachao das neves",1,2,2.00
BA,"rio do antonio",2,2,1.00
BA,"santa teresinha",2,2,1.00
BA,"sao felipe",2,2,1.00
BA,"sao jose da vitoria",2,2,1.00
BA,sapeacu,2,2,1.00
BA,saude,2,2,1.00
BA,"serra dourada",2,2,1.00
BA,"sitio do quinto",2,2,1.00
BA,tapiramuta,2,2,1.00
BA,ubata,2,2,1.00
BA,urandi,2,2,1.00
BA,urucuca,2,2,1.00
BA,vereda,2,2,1.00
BA,wanderley,2,2,1.00
BA,"wenceslau guimaraes",2,2,1.00
CE,abaiara,2,2,1.00
CE,altaneira,2,2,1.00
CE,apuiares,2,2,1.00
CE,aquiraz,2,2,1.00
CE,araripe,2,2,1.00
CE,aratuba,2,2,1.00
CE,arneiroz,2,2,1.00
CE,caririacu,2,2,1.00
CE,carnaubal,2,2,1.00
CE,frecheirinha,2,2,1.00
CE,guaiuba,1,2,2.00
CE,ipaporanga,2,2,1.00
CE,iracema,2,2,1.00
CE,iraucuba,2,2,1.00
CE,itapiuna,1,2,2.00
CE,jardim,2,2,1.00
CE,"lavras da mangabeira",2,2,1.00
CE,massape,2,2,1.00
CE,meruoca,2,2,1.00
CE,milagres,2,2,1.00
CE,milha,2,2,1.00
CE,miraima,2,2,1.00
CE,ocara,2,2,1.00
CE,oros,2,2,1.00
CE,pacoti,2,2,1.00
CE,"pedra branca",2,2,1.00
CE,penaforte,2,2,1.00
CE,pentecoste,2,2,1.00
CE,potengi,2,2,1.00
CE,quixelo,2,2,1.00
CE,"sao luis do curu",2,2,1.00
CE,solonopole,2,2,1.00
CE,trairi,2,2,1.00
CE,uruoca,2,2,1.00
CE,"varzea alegre",2,2,1.00
DF,guara,1,2,2.00
ES,"aguia branca",2,2,1.00
ES,"alto rio novo",2,2,1.00
ES,"braco do rio",2,2,1.00
ES,celina,2,2,1.00
ES,"governador lindenberg",2,2,1.00
ES,irupi,2,2,1.00
ES,itaoca,2,2,1.00
ES,iuna,2,2,1.00
ES,jacigua,2,2,1.00
ES,"jeronimo monteiro",2,2,1.00
ES,"muniz freire",2,2,1.00
ES,"presidente kennedy",2,2,1.00
ES,"vila nelita",2,2,1.00
GO,"alto horizonte",2,2,1.00
GO,araguapaz,2,2,1.00
GO,aruana,1,2,2.00
GO,bonfinopolis,2,2,1.00
GO,brazabrantes,2,2,1.00
GO,"cachoeira dourada",2,2,1.00
GO,"campo alegre de goias",2,2,1.00
GO,"carmo do rio verde",2,2,1.00
GO,cavalcante,2,2,1.00
GO,"corumba de goias",2,2,1.00
GO,cumari,2,2,1.00
GO,damianopolis,2,2,1.00
GO,diorama,1,2,2.00
GO,"domiciano ribeiro",2,2,1.00
GO,doverlandia,2,2,1.00
GO,hidrolina,2,2,1.00
GO,itaguacu,2,2,1.00
GO,itaguaru,2,2,1.00
GO,itapirapua,2,2,1.00
GO,jesupolis,2,2,1.00
GO,mambai,2,2,1.00
GO,"mara rosa",2,2,1.00
GO,matrincha,2,2,1.00
GO,"mundo novo",2,2,1.00
GO,nazario,2,2,1.00
GO,"planaltina de goias",1,2,2.00
GO,pontalina,1,2,2.00
GO,portelandia,2,2,1.00
GO,"santa cruz de goias",2,2,1.00
GO,simolandia,2,2,1.00
GO,turvania,2,2,1.00
GO,vicentinopolis,2,2,1.00
MA,arari,2,2,1.00
MA,"boa vista do gurupi",2,2,1.00
MA,"bom jesus das selvas",2,2,1.00
MA,"campestre do maranhao",2,2,1.00
MA,"capinzal do norte",2,2,1.00
MA,carolina,2,2,1.00
MA,carutapera,2,2,1.00
MA,"mata roma",2,2,1.00
MA,"matoes do norte",2,2,1.00
MA,"olho d'agua das cunhas",2,2,1.00
MA,"pastos bons",2,2,1.00
MA,"porto franco",2,2,1.00
MA,"santa luzia",2,2,1.00
MA,"sao bento",2,2,1.00
MA,"sao domingos do maranhao",2,2,1.00
MA,satubinha,2,2,1.00
MA,"sucupira do norte",2,2,1.00
MA,tutoia,2,2,1.00
MA,"vitoria do mearim",2,2,1.00
MG,acaiaca,2,2,1.00
MG,"agua comprida",2,2,1.00
MG,alpercata,2,2,1.00
MG,"alto caparao",2,2,1.00
MG,alvarenga,2,2,1.00
MG,"antonio pereira",2,2,1.00
MG,aracitaba,2,2,1.00
MG,araponga,2,2,1.00
MG,baldim,2,2,1.00
MG,"bandeira do sul",2,2,1.00
MG,"bias fortes",2,2,1.00
MG,"bom jesus da penha",1,2,2.00
MG,"bonfinopolis de minas",2,2,1.00
MG,"bras pires",2,2,1.00
MG,"brasilandia de minas",2,2,1.00
MG,"cachoeira da prata",2,2,1.00
MG,"cachoeira do campo",2,2,1.00
MG,campanario,2,2,1.00
MG,cantagalo,2,2,1.00
MG,capetinga,2,2,1.00
MG,"capim branco",1,2,2.00
MG,caputira,2,2,1.00
MG,careacu,2,2,1.00
MG,chacara,2,2,1.00
MG,chale,2,2,1.00
MG,"chapada do norte",2,2,1.00
MG,chaveslandia,2,2,1.00
MG,coroaci,2,2,1.00
MG,crisolita,2,2,1.00
MG,"cristiano otoni",2,2,1.00
MG,"cruzeiro da fortaleza",2,2,1.00
MG,"diogo de vasconcelos",2,2,1.00
MG,dionisio,2,2,1.00
MG,"divisa alegre",2,2,1.00
MG,"dom joaquim",2,2,1.00
MG,"dom vicoso",2,2,1.00
MG,"dona euzebia",2,2,1.00
MG,durande,2,2,1.00
MG,"estrela do indaia",2,2,1.00
MG,ferros,2,2,1.00
MG,formoso,2,2,1.00
MG,"francisco dumont",2,2,1.00
MG,"fruta de leite",2,2,1.00
MG,goiabeira,2,2,1.00
MG,guaraciaba,2,2,1.00
MG,guarara,2,2,1.00
MG,guarda-mor,2,2,1.00
MG,guidoval,2,2,1.00
MG,"icarai de minas",2,2,1.00
MG,"imbe de minas",2,2,1.00
MG,inconfidentes,2,2,1.00
MG,indianopolis,2,2,1.00
MG,inhauma,2,2,1.00
MG,inimutaba,2,2,1.00
MG,"irai de minas",2,2,1.00
MG,itaguara,1,2,2.00
MG,itamogi,2,2,1.00
MG,itatiaiucu,2,2,1.00
MG,itueta,2,2,1.00
MG,jacinto,2,2,1.00
MG,jequitai,2,2,1.00
MG,jequitiba,2,2,1.00
MG,juvenilia,2,2,1.00
MG,ladainha,2,2,1.00
MG,"leandro ferreira",2,2,1.00
MG,"limeira do oeste",2,2,1.00
MG,luisburgo,2,2,1.00
MG,"luizlandia do oeste",2,2,1.00
MG,luz,2,2,1.00
MG,machacalis,2,2,1.00
MG,"martinho campos",2,2,1.00
MG,materlandia,2,2,1.00
MG,matutina,2,2,1.00
MG,medeiros,2,2,1.00
MG,"monte formoso",2,2,1.00
MG,montezuma,2,2,1.00
MG,nazareno,2,2,1.00
MG,"ouro verde de minas",2,2,1.00
MG,paiva,2,2,1.00
MG,"patrocinio do muriae",2,2,1.00
MG,periquito,2,2,1.00
MG,"perpetuo socorro",2,2,1.00
MG,piau,2,2,1.00
MG,pimenta,2,2,1.00
MG,planura,2,2,1.00
MG,"ponto dos volantes",2,2,1.00
MG,"porto firme",2,2,1.00
MG,"presidente kubitschek",2,2,1.00
MG,riachinho,2,2,1.00
MG,"ribeirao vermelho",2,2,1.00
MG,romaria,2,2,1.00
MG,"salto da divisa",2,2,1.00
MG,"santa cruz de salinas",2,2,1.00
MG,"santa cruz do prata",2,2,1.00
MG,"santa helena de minas",2,2,1.00
MG,"santa margarida",2,2,1.00
MG,"santa maria do suacui",2,2,1.00
MG,"santa rita do ibitipoca",2,2,1.00
MG,"santana dos montes",2,2,1.00
MG,"santo antonio do grama",2,2,1.00
MG,"sao bras do suacui",2,2,1.00
MG,"sao domingos das dores",2,2,1.00
MG,"sao francisco de paula",2,2,1.00
MG,"sao goncalo do abaete",2,2,1.00
MG,"sao joao da mata",2,2,1.00
MG,"sao joao das missoes",2,2,1.00
MG,"sao joao do manhuacu",2,2,1.00
MG,"sao joao do oriente",2,2,1.00
MG,"sao jose do goiabal",2,2,1.00
MG,"sao roque de minas",2,2,1.00
MG,"sao thome das letras",2,2,1.00
MG,"senador amaral",1,2,2.00
MG,"senador firmino",2,2,1.00
MG,"senador modestino goncalves",2,2,1.00
MG,"senhora de oliveira",2,2,1.00
MG,sericita,2,2,1.00
MG,"serra azul de minas",2,2,1.00
MG,serrania,2,2,1.00
MG,serro,2,2,1.00
MG,tabuleiro,2,2,1.00
MG,"taquaracu de minas",2,2,1.00
MG,turvolandia,2,2,1.00
MG,"vargem alegre",2,2,1.00
MG,"varjao de minas",2,2,1.00
MG,virgolandia,2,2,1.00
MS,"agua clara",2,2,1.00
MS,anastacio,2,2,1.00
MS,bataypora,2,2,1.00
MS,bodoquena,1,2,2.00
MS,corguinho,1,2,2.00
MS,deodapolis,2,2,1.00
MS,itaquirai,2,2,1.00
MS,jaraguari,2,2,1.00
MS,sonora,2,2,1.00
MT,"alto garcas",2,2,1.00
MT,arenapolis,2,2,1.00
MT,carlinda,2,2,1.00
MT,cotriguacu,2,2,1.00
MT,denise,2,2,1.00
MT,"figueiropolis d'oeste",2,2,1.00
MT,"gaucha do norte",2,2,1.00
MT,juscimeira,2,2,1.00
MT,"nova olimpia",2,2,1.00
MT,paranatinga,2,2,1.00
MT,"porto esperidiao",2,2,1.00
MT,poxoreu,2,2,1.00
MT,"reserva do cabacal",2,2,1.00
MT,ribeiraozinho,2,2,1.00
MT,"sao jose do rio claro",2,2,1.00
MT,"sao jose dos quatro marcos",2,2,1.00
MT,tabapora,2,2,1.00
PA,benevides,2,2,1.00
PA,bonito,2,2,1.00
PA,"ipixuna do para",2,2,1.00
PA,"mae do rio",2,2,1.00
PA,"mojui dos campos",2,2,1.00
PA,"novo repartimento",2,2,1.00
PA,"oeiras do para",2,2,1.00
PA,placas,2,2,1.00
PA,"porto trombetas",2,2,1.00
PA,"santa maria do para",2,2,1.00
PA,"sao joao de pirabas",2,2,1.00
PA,"sao sebastiao da boa vista",2,2,1.00
PB,"agua branca",2,2,1.00
PB,alagoinha,2,2,1.00
PB,alhandra,2,2,1.00
PB,areia,2,2,1.00
PB,"barra de santa rosa",2,2,1.00
PB,conceicao,2,2,1.00
PB,cubati,2,2,1.00
PB,"frei martinho",2,2,1.00
PB,itaporanga,2,2,1.00
PB,"junco do serido",2,2,1.00
PB,"pedras de fogo",2,2,1.00
PB,picui,2,2,1.00
PB,"rio tinto",2,2,1.00
PB,sape,2,2,1.00
PE,afranio,2,2,1.00
PE,altinho,2,2,1.00
PE,amaraji,2,2,1.00
PE,aracoiaba,2,2,1.00
PE,"barra de guabiraba",2,2,1.00
PE,"belem do sao francisco",2,2,1.00
PE,bodoco,2,2,1.00
PE,"bom jardim",2,2,1.00
PE,"buenos aires",2,2,1.00
PE,"camocim de sao felix",2,2,1.00
PE,canhotinho,2,2,1.00
PE,caraiba,2,2,1.00
PE,cortes,2,2,1.00
PE,cumaru,2,2,1.00
PE,dormentes,2,2,1.00
PE,"gloria do goita",2,2,1.00
PE,inaja,2,2,1.00
PE,itapetim,2,2,1.00
PE,itaquitinga,2,2,1.00
PE,jatauba,2,2,1.00
PE,jupi,2,2,1.00
PE,"lagoa do carro",2,2,1.00
PE,"lagoa do ouro",2,2,1.00
PE,macaparana,2,2,1.00
PE,moreilandia,2,2,1.00
PE,"nossa senhora do o",2,2,1.00
PE,panelas,2,2,1.00
PE,paudalho,2,2,1.00
PE,"riacho das almas",2,2,1.00
PE,"rio formoso",2,2,1.00
PE,"santa cruz",2,2,1.00
PE,"santa maria da boa vista",2,2,1.00
PE,"sao jose da coroa grande",2,2,1.00
PE,"sao jose do belmonte",2,2,1.00
PE,"sao vicente ferrer",2,2,1.00
PE,serrita,2,2,1.00
PE,tacaratu,2,2,1.00
PE,tracunhaem,2,2,1.00
PE,triunfo,1,2,2.00
PE,venturosa,2,2,1.00
PE,vicencia,2,2,1.00
PI,"agua branca",2,2,1.00
PI,"avelino lopes",2,2,1.00
PI,"buriti dos lopes",2,2,1.00
PI,"castelo do piaui",2,2,1.00
PI,itaueira,1,2,2.00
PI,"novo oriente do piaui",2,2,1.00
PI,"pedro ii",2,2,1.00
PI,pimenteiras,2,2,1.00
PI,piracuruca,2,2,1.00
PR,"altamira do parana",2,2,1.00
PR,"alto alegre",2,2,1.00
PR,"alto alegre do iguacu",1,2,2.00
PR,"alto parana",2,2,1.00
PR,amapora,2,2,1.00
PR,"bocaiuva do sul",2,2,1.00
PR,borrazopolis,2,2,1.00
PR,california,2,2,1.00
PR,cambira,2,2,1.00
PR,cantagalo,2,2,1.00
PR,"colonia jordaozinho",2,2,1.00
PR,congonhinhas,2,2,1.00
PR,"engenheiro beltrao",2,2,1.00
PR,"espigao alto do iguacu",2,2,1.00
PR,"flor da serra do sul",2,2,1.00
PR,florai,2,2,1.00
PR,"grandes rios",2,2,1.00
PR,guaraci,2,2,1.00
PR,iguaracu,1,2,2.00
PR,imbau,2,2,1.00
PR,inaja,2,2,1.00
PR,ipora,2,2,1.00
PR,itaguaje,2,2,1.00
PR,itambaraca,2,2,1.00
PR,ivai,2,2,1.00
PR,jaboti,2,2,1.00
PR,"jardim alegre",2,2,1.00
PR,juranda,2,2,1.00
PR,kalore,2,2,1.00
PR,lindoeste,2,2,1.00
PR,luiziana,2,2,1.00
PR,lunardelli,2,2,1.00
PR,lupionopolis,2,2,1.00
PR,mandirituba,2,2,1.00
PR,mariluz,2,2,1.00
PR,matelandia,2,2,1.00
PR,"maua da serra",2,2,1.00
PR,mercedes,2,2,1.00
PR,"nossa senhora das gracas",2,2,1.00
PR,palmeirinha,2,2,1.00
PR,"pato bragado",2,2,1.00
PR,perola,2,2,1.00
PR,"perola d'oeste",2,2,1.00
PR,"porto amazonas",2,2,1.00
PR,quitandinha,2,2,1.00
PR,"rancho alegre",2,2,1.00
PR,roncador,2,2,1.00
PR,rondon,2,2,1.00
PR,"santa izabel do oeste",2,2,1.00
PR,"santa monica",2,2,1.00
PR,"sao joao do ivai",2,2,1.00
PR,"sao jorge do patrocinio",2,2,1.00
PR,"sao tome",2,2,1.00
PR,sapopema,2,2,1.00
PR,"serranopolis do iguacu",2,2,1.00
PR,tamarana,2,2,1.00
PR,tapejara,2,2,1.00
PR,"teixeira soares",2,2,1.00
PR,"tunas do parana",2,2,1.00
PR,turvo,2,2,1.00
PR,"vila nova",2,2,1.00
PR,"wenceslau braz",2,2,1.00
PR,xambre,1,2,2.00
RJ,"engenheiro passos",2,2,1.00
RJ,glicerio,2,2,1.00
RJ,monnerat,2,2,1.00
RJ,"passa tres",2,2,1.00
RJ,"santo eduardo",2,2,1.00
RJ,tocos,2,2,1.00
RJ,werneck,2,2,1.00
RN,alexandria,2,2,1.00
RN,carnaubais,2,2,1.00
RN,ceara-mirim,2,2,1.00
RN,extremoz,2,2,1.00
RN,guamare,2,2,1.00
RN,"ielmo marinho",2,2,1.00
RN,itau,2,2,1.00
RN,"joao camara",2,2,1.00
RN,"lagoa nova",2,2,1.00
RN,martins,2,2,1.00
RN,pendencias,2,2,1.00
RN,portalegre,2,2,1.00
RN,"rodolfo fernandes",2,2,1.00
RN,"santana do serido",2,2,1.00
RN,"sao miguel do gostoso",2,2,1.00
RN,"sao paulo do potengi",2,2,1.00
RN,"sao vicente",2,2,1.00
RN,"serra de sao bento",2,2,1.00
RO,buritis,2,2,1.00
RO,"costa marques",2,2,1.00
RO,"nova brasilandia d'oeste",2,2,1.00
RO,"nova mamore",2,2,1.00
RO,"presidente medici",2,2,1.00
RO,"sao francisco do guapore",2,2,1.00
RO,seringueiras,2,2,1.00
RS,acegua,2,2,1.00
RS,"agua santa",2,2,1.00
RS,ajuricaba,2,2,1.00
RS,"ametista do sul",2,2,1.00
RS,ararica,2,2,1.00
RS,"arroio do tigre",2,2,1.00
RS,"augusto pestana",2,2,1.00
RS,aurea,2,2,1.00
RS,"barao de cotegipe",1,2,2.00
RS,barracao,2,2,1.00
RS,"boqueirao do leao",2,2,1.00
RS,caibate,2,2,1.00
RS,"campestre da serra",2,2,1.00
RS,"campina das missoes",2,2,1.00
RS,"campo novo",2,2,1.00
RS,"capao da porteira",2,2,1.00
RS,"capela de santana",2,2,1.00
RS,"cerro grande do sul",2,2,1.00
RS,charrua,2,2,1.00
RS,"coqueiro baixo",2,2,1.00
RS,coxilha,2,2,1.00
RS,crissiumal,2,2,1.00
RS,"david canabarro",2,2,1.00
RS,"dona francisca",2,2,1.00
RS,"erval grande",1,2,2.00
RS,"fazenda vilanova",2,2,1.00
RS,formigueiro,2,2,1.00
RS,glorinha,2,2,1.00
RS,"guarani das missoes",2,2,1.00
RS,herval,2,2,1.00
RS,ibiaca,2,2,1.00
RS,ibiraiaras,2,2,1.00
RS,ipe,2,2,1.00
RS,irai,2,2,1.00
RS,macambara,2,2,1.00
RS,"mato leitao",2,2,1.00
RS,montauri,2,2,1.00
RS,nonoai,2,2,1.00
RS,"nova esperanca do sul",2,2,1.00
RS,"nova palma",2,2,1.00
RS,"novo barreiro",2,2,1.00
RS,"protasio alves",2,2,1.00
RS,putinga,2,2,1.00
RS,quevedos,2,2,1.00
RS,"roca sales",2,2,1.00
RS,"rodeio bonito",2,2,1.00
RS,"santa barbara do sul",2,2,1.00
RS,"santa clara do sul",2,2,1.00
RS,"santana da boa vista",2,2,1.00
RS,"santo antonio do palma",2,2,1.00
RS,"sao francisco de assis",2,2,1.00
RS,"sao jose do hortencio",2,2,1.00
RS,"sao paulo das missoes",2,2,1.00
RS,"sao vendelino",2,2,1.00
RS,seberi,2,2,1.00
RS,sinimbu,2,2,1.00
RS,tuparendi,2,2,1.00
RS,"victor graeff",2,2,1.00
SC,agronomica,2,2,1.00
SC,"alfredo wagner",2,2,1.00
SC,anitapolis,2,2,1.00
SC,"antonio carlos",2,2,1.00
SC,armazem,2,2,1.00
SC,aurora,2,2,1.00
SC,"bom jesus",2,2,1.00
SC,botuvera,2,2,1.00
SC,"campo alegre",2,2,1.00
SC,"celso ramos",2,2,1.00
SC,"coronel martins",1,2,2.00
SC,ibicare,2,2,1.00
SC,ipira,2,2,1.00
SC,jabora,2,2,1.00
SC,jaguaruna,2,2,1.00
SC,"luiz alves",2,2,1.00
SC,maracana,2,2,1.00
SC,mondai,2,2,1.00
SC,"nossa senhora de caravaggio",2,2,1.00
SC,"nova itaberaba",2,2,1.00
SC,"passos maia",2,2,1.00
SC,"paulo lopes",2,2,1.00
SC,peritiba,2,2,1.00
SC,"rancho queimado",2,2,1.00
SC,"rio das antas",2,2,1.00
SC,"sao domingos",2,2,1.00
SC,"sao joao do sul",2,2,1.00
SC,"sao martinho",2,2,1.00
SC,"sao pedro de alcantara",2,2,1.00
SC,xavantina,2,2,1.00
SC,zortea,2,2,1.00
SE,"caninde de sao francisco",2,2,1.00
SE,carmopolis,2,2,1.00
SE,itabaianinha,2,2,1.00
SE,"nossa senhora da gloria",2,2,1.00
SE,"tobias barreto",2,2,1.00
SE,"tomar do geru",2,2,1.00
SP,"alvares florence",2,2,1.00
SP,"alvaro de carvalho",2,2,1.00
SP,"aparecida de sao manuel",2,2,1.00
SP,arapei,2,2,1.00
SP,"bento de abreu",2,2,1.00
SP,buritizal,2,2,1.00
SP,caiua,2,2,1.00
SP,"campina do monte alegre",2,2,1.00
SP,canitar,2,2,1.00
SP,coroados,2,2,1.00
SP,"coronel macedo",2,2,1.00
SP,corumbatai,2,2,1.00
SP,dobrada,2,2,1.00
SP,echapora,2,2,1.00
SP,emilianopolis,1,2,2.00
SP,espigao,2,2,1.00
SP,"espirito santo do turvo",2,2,1.00
SP,"euclides da cunha paulista",1,2,2.00
SP,floreal,2,2,1.00
SP,"gaviao peixoto",2,2,1.00
SP,getulina,2,2,1.00
SP,glicerio,2,2,1.00
SP,guaraci,2,2,1.00
SP,guariroba,2,2,1.00
SP,iacri,2,2,1.00
SP,ipigua,2,2,1.00
SP,irape,1,2,2.00
SP,"itapirapua paulista",2,2,1.00
SP,itirapina,2,2,1.00
SP,jaci,2,2,1.00
SP,"julio mesquita",2,2,1.00
SP,lourdes,2,2,1.00
SP,lucianopolis,2,2,1.00
SP,magda,2,2,1.00
SP,mariapolis,2,2,1.00
SP,marinopolis,2,2,1.00
SP,mogi-mirim,2,2,1.00
SP,moncoes,2,2,1.00
SP,"murutinga do sul",2,2,1.00
SP,narandiba,2,2,1.00
SP,nipoa,2,2,1.00
SP,"nossa senhora do remedio",2,2,1.00
SP,"nova campina",2,2,1.00
SP,"nova canaa paulista",2,2,1.00
SP,paranapua,2,2,1.00
SP,"patrocinio paulista",2,2,1.00
SP,pedregulho,2,2,1.00
SP,pindorama,2,2,1.00
SP,pontalinda,2,2,1.00
SP,porangaba,2,2,1.00
SP,potim,2,2,1.00
SP,"presidente alves",2,2,1.00
SP,queluz,2,2,1.00
SP,rechan,2,2,1.00
SP,"ribeirao branco",2,2,1.00
SP,rifaina,2,2,1.00
SP,rubiacea,2,2,1.00
SP,salmourao,2,2,1.00
SP,"santa ernestina",2,2,1.00
SP,"santa maria da serra",2,2,1.00
SP,"santa mercedes",2,2,1.00
SP,"santo antonio do pinhal",2,2,1.00
SP,"sao francisco",2,2,1.00
SP,"sao pedro do turvo",2,2,1.00
SP,sarapui,2,2,1.00
SP,taciba,2,2,1.00
SP,tapirai,2,2,1.00
SP,vargem,2,2,1.00
SP,zacarias,2,2,1.00
TO,"alianca do tocantins",2,2,1.00
TO,arraias,2,2,1.00
TO,"bandeirantes do tocantins",2,2,1.00
TO,barrolandia,2,2,1.00
TO,"cariri do tocantins",2,2,1.00
TO,colmeia,2,2,1.00
TO,"couto de magalhaes",2,2,1.00
TO,goianorte,2,2,1.00
TO,miranorte,2,2,1.00
TO,parana,2,2,1.00
TO,"pindorama do tocantins",2,2,1.00
TO,"sitio novo do tocantins",1,2,2.00
SP,florinia,1,1,1.00
SP,"gabriel monteiro",1,1,1.00
SP,galia,1,1,1.00
SP,guarapua,1,1,1.00
SP,guatapara,1,1,1.00
SP,guzolandia,1,1,1.00
SP,iaras,1,1,1.00
SP,ibitiuva,1,1,1.00
SP,itaoca,1,1,1.00
SP,jamaica,1,1,1.00
SP,jeriquara,1,1,1.00
SP,lavrinhas,1,1,1.00
SP,lutecia,1,1,1.00
SP,macaubal,1,1,1.00
SP,meridiano,1,1,1.00
SP,"mira estrela",1,1,1.00
SP,"monte castelo",1,1,1.00
SP,"monteiro lobato",1,1,1.00
SP,nantes,1,1,1.00
SP,"natividade da serra",1,1,1.00
SP,"nova guataporanga",1,1,1.00
SP,"nova independencia",1,1,1.00
SP,"nova luzitania",1,1,1.00
SP,novais,1,1,1.00
SP,oleo,1,1,1.00
SP,"onda verde",1,1,1.00
SP,"palmares paulista",1,1,1.00
SP,"palmeira d oeste",1,1,1.00
SP,pardinho,1,1,1.00
SP,parisi,1,1,1.00
SP,paulistania,1,1,1.00
SP,pedranopolis,1,1,1.00
SP,pereiras,1,1,1.00
SP,piacatu,1,1,1.00
SP,pinheiros,1,1,1.00
SP,piquerobi,1,1,1.00
SP,planalto,1,1,1.00
SP,"pontes gestal",1,1,1.00
SP,populina,1,1,1.00
SP,queiroz,1,1,1.00
SP,"redencao da serra",1,1,1.00
SP,rincao,1,1,1.00
SP,riversul,1,1,1.00
SP,rubineia,1,1,1.00
SP,"salto grande",1,1,1.00
SP,"santa clara d'oeste",1,1,1.00
SP,"santa salete",1,1,1.00
SP,"santo antonio do aracangua",1,1,1.00
SP,"santo expedito",1,1,1.00
SP,"sao sebastiao da serra",1,1,1.00
SP,sarutaia,1,1,1.00
SP,"serra azul",1,1,1.00
SP,suzanapolis,1,1,1.00
SP,taiacu,1,1,1.00
SP,tapinas,1,1,1.00
SP,tecainda,1,1,1.00
SP,"termas de ibira",1,1,1.00
SP,trabiju,1,1,1.00
SP,tuiuti,1,1,1.00
SP,turmalina,1,1,1.00
SP,ubirajara,1,1,1.00
SP,"venda branca",1,1,1.00
TO,almas,1,1,1.00
TO,ananas,1,1,1.00
TO,"aparecida do rio negro",1,1,1.00
TO,araguacu,1,1,1.00
TO,arapoema,1,1,1.00
TO,augustinopolis,1,1,1.00
TO,"buriti do tocantins",1,1,1.00
TO,carmolandia,1,1,1.00
TO,centenario,1,1,1.00
TO,combinado,1,1,1.00
TO,"divinopolis do tocantins",1,1,1.00
TO,duere,1,1,1.00
TO,esperantina,1,1,1.00
TO,fatima,1,1,1.00
TO,lajeado,1,1,1.00
TO,natividade,1,1,1.00
TO,"nova olinda",1,1,1.00
TO,"novo alegre",1,1,1.00
TO,"novo jardim",1,1,1.00
TO,peixe,1,1,1.00
TO,pequizeiro,1,1,1.00
TO,pium,1,1,1.00
TO,"praia norte",1,1,1.00
TO,pugmil,1,1,1.00
TO,sandolandia,1,1,1.00
TO,silvanopolis,1,1,1.00
AC,brasileia,1,1,1.00
AC,epitaciolandia,1,1,1.00
AC,"manoel urbano",1,1,1.00
AC,"porto acre",1,1,1.00
AL,"agua branca",1,1,1.00
AL,atalaia,1,1,1.00
AL,cacimbinhas,1,1,1.00
AL,cajueiro,1,1,1.00
AL,canapi,1,1,1.00
AL,"coite do noia",1,1,1.00
AL,"dois riachos",1,1,1.00
AL,"girau do ponciano",1,1,1.00
AL,"lagoa da canoa",1,1,1.00
AL,luziapolis,1,1,1.00
AL,"marechal deodoro",1,1,1.00
AL,maribondo,1,1,1.00
AL,"matriz de camaragibe",1,1,1.00
AL,monteiropolis,1,1,1.00
AL,murici,1,1,1.00
AL,"novo lino",1,1,1.00
AL,paripueira,1,1,1.00
AL,"passo de camaragibe",1,1,1.00
AL,"pau d'arco",1,1,1.00
AL,"porto de pedras",1,1,1.00
AL,"santa luzia do norte",1,1,1.00
AL,"santana do ipanema",1,1,1.00
AL,"sao bras",1,1,1.00
AL,"sao jose da tapera",1,1,1.00
AL,"sao sebastiao",1,1,1.00
AL,taquarana,1,1,1.00
AL,traipu,1,1,1.00
AL,vicosa,1,1,1.00
AM,coari,1,1,1.00
AM,itacoatiara,1,1,1.00
AP,oiapoque,1,1,1.00
AP,"porto grande",1,1,1.00
AP,"vitoria do jari",1,1,1.00
BA,acajutiba,1,1,1.00
BA,adustina,1,1,1.00
BA,amargosa,1,1,1.00
BA,"america dourada",1,1,1.00
BA,anage,1,1,1.00
BA,andarai,1,1,1.00
BA,angical,1,1,1.00
